Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceEntropy',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage', 'weight'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.7633928571428572
outer_1_inner_2,"Index(['original_shape_Flatness', 'original_glcm_Correlation', 'weight'], dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6108597285067874
outer_1_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6921296296296297
outer_1_inner_4,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.6682692307692308
outer_1_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized', 'weight'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.5759803921568628
outer_2_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation',
       'original_glszm_SizeZoneNonUniformityNormalized', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.5633484162895928
outer_2_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation',
       'original_glszm_SizeZoneNonUniformityNormalized', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.7285067873303168
outer_2_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation', 'weight'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.6782407407407407
outer_2_inner_4,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage', 'weight'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.7361111111111112
outer_2_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.8289473684210527
outer_3_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.74
outer_3_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceEntropy',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6243386243386244
outer_3_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaLowGrayLevelEmphasis', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.583710407239819
outer_3_inner_4,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation',
       'original_glszm_SizeZoneNonUniformityNormalized', 'weight'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.8733031674208145
outer_3_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage', 'weight'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.7666666666666667
outer_4_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation', 'original_gldm_DependenceEntropy',
       'original_glszm_SmallAreaEmphasis', 'weight'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.5358851674641149
outer_4_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized', 'weight'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.615
