Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum3DDiameter', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.8303571428571429
outer_1_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.8144796380090498
outer_1_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.8888888888888888
outer_1_inner_4,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7548076923076923
outer_1_inner_5,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.5490196078431373
outer_2_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glcm_Correlation', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 10}",0.6832579185520362
outer_2_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.7737556561085973
outer_2_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis', 'original_glszm_ZoneEntropy',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.8055555555555556
outer_2_inner_4,"Index(['original_shape_Flatness',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.6481481481481481
outer_2_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 1}",0.8421052631578947
outer_3_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.83
outer_3_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.7089947089947091
outer_3_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaLowGrayLevelEmphasis',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.6425339366515836
outer_3_inner_4,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 10}",0.8054298642533937
outer_3_inner_5,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7333333333333333
outer_4_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 10}",0.7751196172248804
outer_4_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 10}",0.845
outer_4_inner_3,"Index(['original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn',
       'original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 10}",0.8571428571428571
outer_4_inner_4,"Index(['original_shape_Flatness',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.78125
outer_4_inner_5,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.5404040404040403
outer_5_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.72
outer_5_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 1}",0.918552036199095
outer_5_inner_3,"Index(['original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.65625
outer_5_inner_4,"Index(['original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.8518518518518519
outer_5_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.7836538461538461
